configuration,price_ngn,predicted_next_price,random_walk_price
capacity-controlled (CV-selected on V0),610,765.4083827520355,610.0
capacity-controlled (CV-selected on V0),615,765.4083827520355,615.0
capacity-controlled (CV-selected on V0),620,765.4083827520355,620.0
capacity-controlled (CV-selected on V0),625,765.4083827520355,625.0
capacity-controlled (CV-selected on V0),630,765.4083827520355,630.0
capacity-controlled (CV-selected on V0),635,765.4083827520355,635.0
capacity-controlled (CV-selected on V0),640,765.4083827520355,640.0
capacity-controlled (CV-selected on V0),645,765.4083827520355,645.0
capacity-controlled (CV-selected on V0),650,765.4083827520355,650.0
capacity-controlled (CV-selected on V0),655,765.4083827520355,655.0
capacity-controlled (CV-selected on V0),660,765.4083827520355,660.0
capacity-controlled (CV-selected on V0),665,765.4083827520355,665.0
capacity-controlled (CV-selected on V0),670,773.9752941467098,670.0
capacity-controlled (CV-selected on V0),675,781.5415428701317,675.0
capacity-controlled (CV-selected on V0),680,794.6142545603482,680.0
capacity-controlled (CV-selected on V0),685,803.7615150124673,685.0
capacity-controlled (CV-selected on V0),690,803.7615150124673,690.0
capacity-controlled (CV-selected on V0),695,803.7615150124673,695.0
capacity-controlled (CV-selected on V0),700,803.7615150124673,700.0
capacity-controlled (CV-selected on V0),705,803.7615150124673,705.0
capacity-controlled (CV-selected on V0),710,803.7615150124673,710.0
capacity-controlled (CV-selected on V0),715,832.8799240861565,715.0
capacity-controlled (CV-selected on V0),720,839.2744387531511,720.0
capacity-controlled (CV-selected on V0),725,839.2744387531511,725.0
capacity-controlled (CV-selected on V0),730,839.2744387531511,730.0
capacity-controlled (CV-selected on V0),735,839.2744387531511,735.0
capacity-controlled (CV-selected on V0),740,839.2744387531511,740.0
capacity-controlled (CV-selected on V0),745,844.4399589801892,745.0
capacity-controlled (CV-selected on V0),750,849.1661609280219,750.0
capacity-controlled (CV-selected on V0),755,849.1661609280219,755.0
capacity-controlled (CV-selected on V0),760,849.1661609280219,760.0
capacity-controlled (CV-selected on V0),765,849.1661609280219,765.0
capacity-controlled (CV-selected on V0),770,849.1661609280219,770.0
capacity-controlled (CV-selected on V0),775,849.1661609280219,775.0
capacity-controlled (CV-selected on V0),780,849.1661609280219,780.0
capacity-controlled (CV-selected on V0),785,849.1661609280219,785.0
capacity-controlled (CV-selected on V0),790,849.1661609280219,790.0
capacity-controlled (CV-selected on V0),795,849.1661609280219,795.0
capacity-controlled (CV-selected on V0),800,849.1661609280219,800.0
capacity-controlled (CV-selected on V0),805,862.0242903947734,805.0
capacity-controlled (CV-selected on V0),810,862.0242903947734,810.0
capacity-controlled (CV-selected on V0),815,862.0242903947734,815.0
capacity-controlled (CV-selected on V0),820,870.9653667479563,820.0
capacity-controlled (CV-selected on V0),825,870.9653667479563,825.0
capacity-controlled (CV-selected on V0),830,895.3701551629514,830.0
capacity-controlled (CV-selected on V0),835,895.3701551629514,835.0
capacity-controlled (CV-selected on V0),840,895.3701551629514,840.0
capacity-controlled (CV-selected on V0),845,970.8298078298545,845.0
capacity-controlled (CV-selected on V0),850,970.8298078298545,850.0
capacity-controlled (CV-selected on V0),855,970.8298078298545,855.0
capacity-controlled (CV-selected on V0),860,970.8298078298545,860.0
capacity-controlled (CV-selected on V0),865,970.8298078298545,865.0
capacity-controlled (CV-selected on V0),870,970.8298078298545,870.0
capacity-controlled (CV-selected on V0),875,970.8298078298545,875.0
capacity-controlled (CV-selected on V0),880,970.8298078298545,880.0
capacity-controlled (CV-selected on V0),885,995.3990595721576,885.0
capacity-controlled (CV-selected on V0),890,995.3990595721576,890.0
capacity-controlled (CV-selected on V0),895,995.3990595721576,895.0
capacity-controlled (CV-selected on V0),900,995.3990595721576,900.0
capacity-controlled (CV-selected on V0),905,995.3990595721576,905.0
capacity-controlled (CV-selected on V0),910,995.3990595721576,910.0
capacity-controlled (CV-selected on V0),915,995.3990595721576,915.0
capacity-controlled (CV-selected on V0),920,995.3990595721576,920.0
capacity-controlled (CV-selected on V0),925,995.3990595721576,925.0
capacity-controlled (CV-selected on V0),930,1003.565891896476,930.0
capacity-controlled (CV-selected on V0),935,1003.565891896476,935.0
capacity-controlled (CV-selected on V0),940,1003.565891896476,940.0
capacity-controlled (CV-selected on V0),945,1003.565891896476,945.0
capacity-controlled (CV-selected on V0),950,1003.565891896476,950.0
capacity-controlled (CV-selected on V0),955,1003.565891896476,955.0
capacity-controlled (CV-selected on V0),960,1008.8225670131254,960.0
capacity-controlled (CV-selected on V0),965,1008.8225670131254,965.0
capacity-controlled (CV-selected on V0),970,1008.8225670131254,970.0
capacity-controlled (CV-selected on V0),975,1008.8225670131254,975.0
capacity-controlled (CV-selected on V0),980,1008.8225670131254,980.0
capacity-controlled (CV-selected on V0),985,1012.81747810289,985.0
capacity-controlled (CV-selected on V0),990,1012.81747810289,990.0
capacity-controlled (CV-selected on V0),995,1012.81747810289,995.0
capacity-controlled (CV-selected on V0),1000,1012.81747810289,1000.0
capacity-controlled (CV-selected on V0),1005,1024.9343217285739,1005.0
capacity-controlled (CV-selected on V0),1010,1024.9343217285739,1010.0
capacity-controlled (CV-selected on V0),1015,1024.9343217285739,1015.0
capacity-controlled (CV-selected on V0),1020,1024.9343217285739,1020.0
capacity-controlled (CV-selected on V0),1025,1024.9343217285739,1025.0
capacity-controlled (CV-selected on V0),1030,1024.9343217285739,1030.0
capacity-controlled (CV-selected on V0),1035,1024.9343217285739,1035.0
capacity-controlled (CV-selected on V0),1040,1024.9343217285739,1040.0
capacity-controlled (CV-selected on V0),1045,1032.9095504574518,1045.0
capacity-controlled (CV-selected on V0),1050,1032.9095504574518,1050.0
capacity-controlled (CV-selected on V0),1055,1032.9095504574518,1055.0
capacity-controlled (CV-selected on V0),1060,1032.9095504574518,1060.0
capacity-controlled (CV-selected on V0),1065,1048.5504739190685,1065.0
capacity-controlled (CV-selected on V0),1070,1053.2596609578854,1070.0
capacity-controlled (CV-selected on V0),1075,1056.483683036018,1075.0
capacity-controlled (CV-selected on V0),1080,1056.483683036018,1080.0
capacity-controlled (CV-selected on V0),1085,1066.0205155960152,1085.0
capacity-controlled (CV-selected on V0),1090,1066.0205155960152,1090.0
capacity-controlled (CV-selected on V0),1095,1066.0205155960152,1095.0
capacity-controlled (CV-selected on V0),1100,1066.0205155960152,1100.0
capacity-controlled (CV-selected on V0),1105,1066.0205155960152,1105.0
capacity-controlled (CV-selected on V0),1110,1080.4924132041228,1110.0
capacity-controlled (CV-selected on V0),1115,1080.4924132041228,1115.0
capacity-controlled (CV-selected on V0),1120,1080.4924132041228,1120.0
capacity-controlled (CV-selected on V0),1125,1090.7604450398067,1125.0
capacity-controlled (CV-selected on V0),1130,1090.7604450398067,1130.0
capacity-controlled (CV-selected on V0),1135,1090.7604450398067,1135.0
capacity-controlled (CV-selected on V0),1140,1090.7604450398067,1140.0
capacity-controlled (CV-selected on V0),1145,1109.9465918219935,1145.0
capacity-controlled (CV-selected on V0),1150,1109.9465918219935,1150.0
capacity-controlled (CV-selected on V0),1155,1109.9465918219935,1155.0
capacity-controlled (CV-selected on V0),1160,1120.8522441356006,1160.0
capacity-controlled (CV-selected on V0),1165,1120.8522441356006,1165.0
capacity-controlled (CV-selected on V0),1170,1120.8522441356006,1170.0
capacity-controlled (CV-selected on V0),1175,1120.8522441356006,1175.0
capacity-controlled (CV-selected on V0),1180,1120.8522441356006,1180.0
capacity-controlled (CV-selected on V0),1185,1120.8522441356006,1185.0
capacity-controlled (CV-selected on V0),1190,1129.4101124453111,1190.0
capacity-controlled (CV-selected on V0),1195,1129.4101124453111,1195.0
capacity-controlled (CV-selected on V0),1200,1137.102026444733,1200.0
capacity-controlled (CV-selected on V0),1205,1137.102026444733,1205.0
capacity-controlled (CV-selected on V0),1210,1137.102026444733,1210.0
capacity-controlled (CV-selected on V0),1215,1137.102026444733,1215.0
capacity-controlled (CV-selected on V0),1220,1137.102026444733,1220.0
capacity-controlled (CV-selected on V0),1225,1137.102026444733,1225.0
capacity-controlled (CV-selected on V0),1230,1142.3969748102795,1230.0
capacity-controlled (CV-selected on V0),1235,1142.3969748102795,1235.0
capacity-controlled (CV-selected on V0),1240,1142.3969748102795,1240.0
capacity-controlled (CV-selected on V0),1245,1142.3969748102795,1245.0
capacity-controlled (CV-selected on V0),1250,1142.3969748102795,1250.0
capacity-controlled (CV-selected on V0),1255,1142.3969748102795,1255.0
capacity-controlled (CV-selected on V0),1260,1151.7903443703221,1260.0
capacity-controlled (CV-selected on V0),1265,1151.7903443703221,1265.0
capacity-controlled (CV-selected on V0),1270,1151.7903443703221,1270.0
capacity-controlled (CV-selected on V0),1275,1151.7903443703221,1275.0
capacity-controlled (CV-selected on V0),1280,1151.7903443703221,1280.0
capacity-controlled (CV-selected on V0),1285,1151.7903443703221,1285.0
capacity-controlled (CV-selected on V0),1290,1151.7903443703221,1290.0
capacity-controlled (CV-selected on V0),1295,1151.7903443703221,1295.0
capacity-controlled (CV-selected on V0),1300,1151.7903443703221,1300.0
capacity-controlled (CV-selected on V0),1305,1151.7903443703221,1305.0
capacity-controlled (CV-selected on V0),1310,1159.7915396446751,1310.0
capacity-controlled (CV-selected on V0),1315,1159.7915396446751,1315.0
capacity-controlled (CV-selected on V0),1320,1159.7915396446751,1320.0
capacity-controlled (CV-selected on V0),1325,1185.3785362006865,1325.0
capacity-controlled (CV-selected on V0),1330,1185.3785362006865,1330.0
capacity-controlled (CV-selected on V0),1335,1185.3785362006865,1335.0
capacity-controlled (CV-selected on V0),1340,1185.3785362006865,1340.0
capacity-controlled (CV-selected on V0),1345,1185.3785362006865,1345.0
capacity-controlled (CV-selected on V0),1350,1185.3785362006865,1350.0
capacity-controlled (CV-selected on V0),1355,1185.3785362006865,1355.0
capacity-controlled (CV-selected on V0),1360,1185.3785362006865,1360.0
capacity-controlled (CV-selected on V0),1365,1185.3785362006865,1365.0
capacity-controlled (CV-selected on V0),1370,1185.3785362006865,1370.0
capacity-controlled (CV-selected on V0),1375,1185.3785362006865,1375.0
capacity-controlled (CV-selected on V0),1380,1194.0030769741832,1380.0
capacity-controlled (CV-selected on V0),1385,1194.0030769741832,1385.0
capacity-controlled (CV-selected on V0),1390,1194.0030769741832,1390.0
capacity-controlled (CV-selected on V0),1395,1194.0030769741832,1395.0
capacity-controlled (CV-selected on V0),1400,1279.2805751142726,1400.0
capacity-controlled (CV-selected on V0),1405,1279.2805751142726,1405.0
capacity-controlled (CV-selected on V0),1410,1279.2805751142726,1410.0
capacity-controlled (CV-selected on V0),1415,1279.2805751142726,1415.0
capacity-controlled (CV-selected on V0),1420,1279.2805751142726,1420.0
capacity-controlled (CV-selected on V0),1425,1279.2805751142726,1425.0
capacity-controlled (CV-selected on V0),1430,1279.2805751142726,1430.0
capacity-controlled (CV-selected on V0),1435,1279.2805751142726,1435.0
capacity-controlled (CV-selected on V0),1440,1279.2805751142726,1440.0
capacity-controlled (CV-selected on V0),1445,1279.2805751142726,1445.0
capacity-controlled (CV-selected on V0),1450,1279.2805751142726,1450.0
capacity-controlled (CV-selected on V0),1455,1279.2805751142726,1455.0
capacity-controlled (CV-selected on V0),1460,1279.2805751142726,1460.0
capacity-controlled (CV-selected on V0),1465,1279.2805751142726,1465.0
capacity-controlled (CV-selected on V0),1470,1279.2805751142726,1470.0
capacity-controlled (CV-selected on V0),1475,1279.2805751142726,1475.0
capacity-controlled (CV-selected on V0),1480,1279.2805751142726,1480.0
capacity-controlled (CV-selected on V0),1485,1279.2805751142726,1485.0
capacity-controlled (CV-selected on V0),1490,1279.2805751142726,1490.0
capacity-controlled (CV-selected on V0),1495,1279.2805751142726,1495.0
capacity-controlled (CV-selected on V0),1500,1279.2805751142726,1500.0
